category,title,description
Cámaras y Accesorios,"Cámara Sin Espejo Sony A6600 De 24,2 Mp, 4k Aps-c, Solo Cuer","IMPORTANTE: Si este producto es eléctrico, es compatible con tomacorrientes de 110 voltios. En caso de utilizarlo fuera de Estados Unidos, puede ser necesario un convertidor de voltaje para garantizar su funcionamiento adecuado. Por favor, verifique si el producto que está adquiriendo es eléctrico antes de considerar esta información. La Alpha 6600 incluye un sensor de imagen CMOS Exmor de 24,2 MP2, el último procesador de imagen BIONZ X y un LSI frontal, tal como se implementan en las cámaras de fotograma completo de Sony, que se combinan para ofrecer mejoras generales en la calidad de la imagen y el rendimiento en todas las áreas de la captura de fotos y vídeos. Características del producto: el AF 1 más rápido del mundo a 0,02 segundos con AF y seguimiento de objetos en tiempo real Sensor APS-C de 24,2 MP2 con AF en tiempo real y seguimiento de objetos/LSI e ISO frontales de hasta 102.4004 Disparo continuo de hasta 11 fps5 a 24,2 MP RAW con seguimiento AF/AE Amplios puntos de enfoque automático con detección de 425 fases y 425 contrastes superiores al 84% del sensor en tiempo real Seguimiento de enfoque automático, enfoque automático ocular en tiempo real para humanos, animales, películas, estabilización de imagen corporal de 65 ejes, ventaja de velocidad de obturación de 5 pasos, películas de 94 K con sobremuestreo de 2,4 veces, lectura de píxeles completa, sin agrupamiento de píxeles Grabación de películas con micrófono y pantalla táctil LCD de 3 pulgadas con pantalla táctil de 3 pulgadas, motor de procesamiento de imágenes BIONZ X mejorado con interfaz de video LSIXAVC S, HLG, S-Log2 y 3, lento/velocidades de fotogramas rápidas, salida HDMI 4:2:2, grabación a intervalos 7 para vídeo a intervalos y S&Q para entre 1 y 120 fps Batería de la serie Z de larga duración: hasta 810 imágenes cuando se utiliza la pantalla LCD táctil LCD9 para enfoque táctil, seguimiento y obturador Wi-Fi/NFC /Código QR para facilitar la transferencia de archivos y el control remoto8 Cuerpo robusto de aleación de magnesio con diseño resistente al polvo y la humedad1024,2 MP2 y una calidad de imagen increíble La Alpha 6600 cuenta con un impresionante sensor de imagen APS-C con aproximadamente 24,2 megapíxeles efectivos, el... - AUTORIZADO POR SONY EN EE. UU. Incluye la garantía total de SONY EE. UU. - Sensor APS-C Exmor de 24,2 MP con LSI e ISO frontales de hasta 102 400 El enfoque automático más rápido del mundo a 0,02 segundos. con enfoque automático y seguimiento de objetos en tiempo real Estabilización de imagen corporal de 5 ejes, ventaja de velocidad de obturación de 5 pasos Disparo continuo de hasta 11 fps a 24,2 MP RAW con Seguimiento AF/AE Amplio enfoque automático con detección de 425 fases y 425 contrastes puntos superiores al 84% del sensor Seguimiento AF en tiempo real, enfoque automático ocular en tiempo real para humanos, animales o películas: película 4K con sobremuestreo de 2,4 veces, lectura completa de píxeles, sin agrupamiento de píxeles Grabación de vídeo con micrófono y pantalla LCD táctil de 3 pulgadas inclinable 180 grados Motor de procesamiento de imágenes BIONZ X mejorado con LSI frontal Vídeo XAVC S, HLG, Log2&3, velocidades de fotogramas lentas y rápidas, salida HDMI 4:2:2 Grabación a intervalos para vídeo a intervalos y S&Q para entre 1 y 120 fps Pantalla LCD táctil para enfoque táctil, seguimiento y obturador Wi-Fi/NFC/código QR para facilitar transferencia de archivos y control remoto Diseño resistente al polvo y la humedad - LA CÁMARA INCLUYE: cámara digital sin espejo Sony Alpha a6600 ILCE-6600B (solo cuerpo) batería recargable NP-FZ100 adaptador de corriente alterna AC-UUD12 correa de hombro gorra para calzado copa ocular cable micro USB Garantía autorizada de Sony EE. UU., el paquete incluye: bolsa de viaje para cámara y lentes Deco Gear (pequeña) SF3000 Bounce Zoom Slave Flash Batería de repuesto para NP-FZ100 Control remoto con obturador inalámbrico Tarjeta de memoria SDXC Lexar Professional 633x 64 GB Soplador de lentes Lápiz de lente Trípode de 12 pulgadas Tapón Paño de microfibra Protectores de pantalla Lector de tarjetas Funda para tarjetas Software Corel Paint Shop Pro Corel VideoStudio SE Software"
Cámaras y Accesorios,Telescopio Refractor 35cm Profesional Para Principiantes Ews,"========================================== IMPORTANTE:  Este producto se importa de Estados Unidos. El precio publicado incluye todos los costos de importación y de envío hasta tu domicilio.  Compra 100% Protegida y Envío Seguro Tu compra está completamente protegida por Mercado Libre. Además, con Mercado Envíos, tu pedido cuenta con seguimiento desde el momento que es despachado hasta que llega a tus manos, asegurando una experiencia de compra segura y confiable. ¡Comprá con total tranquilidad!  Cuando concretes tu compra te contactaremos para solicitarte tu número de CUIL con el que realizaremos la importación formal del mismo. Te enviaremos una foto de la compra al recibirla en nuestro depósito en Estados Unidos, y otra cuando la recibimos en Argentina. Tu compra será entregada a través de Mercado Envíos. Si tenés alguna duda, dejanos tu pregunta. ==========================================  TÍTULO:  Telescopios para adultos Astronomía, 3.150 in de apertura 35.433 in telescopio refractor profesional para niños y principiantes, telescopio de viaje compacto y portátil con bolsa de transporte  DETALLES: Un telescopio profesional con una gran apertura de 3.150 in: necesita telescopios astronómicos que tengan la verdadera apertura de 3.150 in y una lente de vidrio óptica verde totalmente recubierta. La gran apertura puede capturar más luz, la lente óptica de alta transmisión puede mejorar la transmisión de luz y reducir el reflejo de la luz, por lo que este telescopio profesional ___ 80900 te traerá imágenes más brillantes y claras.  Un trípode estable con cardán súper azimut: los telescopios ___ están equipados con un cardán de ajuste y posicionamiento aproximado con escala clara en un trípode estable de aluminio ajustable de tamaño completo. Las escalas de altitud y azimut te permiten moverte donde quieras apuntar de manera fácil y cómoda.  Ampliaciones múltiples por ocular de alta cantidad: hemos configurado especialmente los oculares WA para este telescopio. 0.394 in y 0.787 in proporcionan un aumento de 90X y 45X para imágenes. El paisaje terrestre y cielo es impresionante, desde cráteres lunares hasta otros planetas, ya sea que seas un entusiasta de nivel básico o un entusiasta profesional, puede satisfacer tus necesidades.  Fácil de instalar, fácil de operar, fácil de obtener imágenes: el telescopio es fácil de montar incluso para principiantes y niños de astronomía. No te preocupes por problemas de montaje, nuestros accesorios son simples y tienen manuales de  TABLA DE CARACTERÍSTICAS: Dimensiones del producto:    36 x 10 x 60 pulgadas Número de modelo del producto: 80900-B País de origen:         China   ========================================== IMPORTANTE: Compra Fácil y Rápida desde Estados Unidos   Este producto se importa directamente desde Estados Unidos, ofreciéndote una experiencia de compra exclusiva y sin complicaciones. Disfrutá de los beneficios únicos que te ofrece nuestro servicio DelMundoATusManos - Easy World Shipping. El precio publicado incluye todos los costos de importación y envío hasta la puerta de tu hogar.    Ventajas de Comprar con Easy World Shipping   Comodidad y Simplicidad: Comprá directamente desde Estados Unidos sin preocuparte por trámites aduaneros o complicaciones logísticas. Nos encargamos de todo el proceso para que recibas tu producto sin esfuerzos adicionales.    Seguimiento y Transparencia: Queremos que estés al tanto de cada paso. Una vez que concretes tu compra, te asignaremos un Ejecutivo de Cuentas personal que te solicitará tu número de CUIL, necesario para la importación formal. Además estarás en contacto continuamente y te mantendrá informado con fotos del producto tanto al recibirlo en nuestro depósito en Estados Unidos como cuando llegue a Argentina. Tu tranquilidad es nuestra prioridad.    Entrega Segura y Rápida: Utilizamos Mercado Envíos para asegurar una entrega rápida y confiable hasta la puerta de tu casa. Te garantizamos que tu compra llegará en perfectas condiciones y en el menor tiempo posible.    ¡Sumate a los cientos de clientes que confian en nosotros!   No dudes en dejarnos tu pregunta, estamos aquí para asistirte y asegurarte una experiencia de compra excepcional.    Con DelMundoATusManos - Easy World Shipping, comprá fácil, rápido y seguro. ¡Tu satisfacción es nuestra misión! ==========================================  Transformador de Voltaje 220V a 120V para Productos Importados de USA  Si has elegido la compra de un producto que se conecta a la corriente desde Estados Unidos, es fundamental tener en cuenta que en Argentina la norma eléctrica es de 220-240V, mientras que en USA es de 120V. Para usar tu equipo de manera segura, lo más probable es que necesites un transformador de voltaje. Ofrecemos transformadores de excelente calidad a todos nuestros clientes al costo, y además te asesoramos en la post-venta, para que sepas con precisión qué tipo de transformador necesitas. Estos adaptadores son totalmente seguros y permiten que tu producto funcione perfectamente sin riesgos. ¡Conéctalo con confianza!"
Cámaras y Accesorios,Porta Memorias Sd - 9 Memorias Gris,"Porta tarjetas de memoria SD impreso en PLA, para llevar hasta 9 tarjetas al rodaje y no tenerlas desparramadas por todos los bolsillos de la mochila :-)"
Cámaras y Accesorios,Smallrig Soporte Para Monitor De Campo Con Abrazadera Nato,"GALAS TRADE + LAMEJORSOLUCION    SOMOS MERCADOLIBRE PLATINUM  +500.000 VENTAS EN LOS ULTIMOS 20 AÑOS EN MERCADOLIBRE  100% CALIFICACIONES POSITIVAS  -------------------------------------------------------------------  TODOS NUESTROS PRODUCTOS SON NUEVOS Y ORIGINALES EN SU EMPAQUE DE ORIGEN.  -------------------------------------------------------------------  RECIBI TU COMPRA INTERNACIONAL POR MERCADO DE ENVIOS EN LOS TIEMPOS INDICADOS EN EL AVISO!  -------------------------------------------------------------------  EL PRODUCTO TARDA DE 6 A 20 DIAS HABILES EN LLEGAR A NUESTRO DEPOSITO PARA SER DESPACHADO POR MERCADO DE ENVIOS.  -------------------------------------------------------------------    Artículo: SMALLRIG Soporte para monitor de campo con abrazadera NATO de liberación rápida - 2100            -------------------------------------------------------------------    Descripción:      -------------------------------------------------------------------    Características:  • ?PROPÓSITO ESPECIAL? El soporte para monitor SMALLRIG DSLR 2100 permite un ajuste fácil y rápido del ángulo de visión del monitor y permite al camarógrafo tener un mejor monitoreo según las necesidades en diferentes escenarios de disparo. • ?AJUSTE DE ROTACIÓN DE 160°?El eje de rotación permite que el soporte para monitor SMALLRIG DSLR ajuste la posición del monitor hasta 160° con una sola mano para un mejor monitoreo según sus necesidades en diferentes direcciones durante la toma. • ?LIBERACIÓN RÁPIDA? El soporte del monitor de campo de la cámara SMALLRIG se puede asegurar con un tornillo de mariposa o una llave hexagonal apretando el tornillo roscado en la parte superior. Liberación rápida en cualquier jaula con riel NATO, como SMALLRIG a6300 a6500 Cage 1889 o SMALLRIG Safety Rail 1195. Se puede bloquear herméticamente con la palanca de bloqueo roja rápidamente. • ?ESTRUCTURA? Este monitor de campo con cámara es compatible con 5 y 7 monitores. La estructura ultracompacta tiene una altura de solo 46 mm. Se utiliza un cojín de goma en la parte superior para evitar que el monitor se raye o dañe. Dos tornillos M5 sirven para amortiguar según el peso de los monitores. • ?TENGA EN CUENTA? La carga máxima de este artículo es 1,5 kg              Color:  Monitor de la OTAN Monut 2100.             Marca: SMALLRIG  Dimensiones: 0.08 x 0.07 x 0.05mts.  Peso del Producto: 0.10 Kilogramos.  Peso de Envio: 0.10 Kilogramos.  Modelo: 2100B      -------------------------------------------------------------------    Hacemos Factura A , B y Ticket Consumidor final."
Cámaras y Accesorios,Microscope Thames & Kosmos Essential Con Adaptador Para Smar,"La herramienta STEM esencial del microscopio Thames & Kosmos con adaptador de teléfono inteligente para capturar y ver imágenes microscópicas, dispositivo científico para estudiantes de nivel básico, aumento de 60 a 600 veces y 45 accesorios: ¡un microscopio estudiantil de alta calidad reinventado para el siglo XXI! - Viene con 45 herramientas y accesorios, que incluyen: diapositivas preparadas, diapositivas en blanco, viales para muestras, pinzas, una placa de Petri, un tubo de ensayo y más. - El lente ocular de 15x, o lente ocular, funciona con tres objetivos, lo que resulta en una potencia de aumento total de 60x, 150x o 600x. - El manual de instrucciones explica cómo configurar, usar y cuidar el microscopio y ofrece consejos e ideas para recopilar y observar su muestras propias. - Cuenta con un adaptador para teléfonos inteligentes que le permite conectar su teléfono inteligente al microscopio y ver y capturar increíbles imágenes microscópicas imágenes y vídeos en tu dispositivo."
Cámaras y Accesorios,Ywlake Álbum De Fotos Autoadhesivo Stick Sticky Páginas Comp,"¿Qué recibes con tu compra?   Ywlake Álbum de fotos Autoadhesivo Stick Sticky Páginas completas, Álbum de recortes de lino de gran capacidad Álbumes de fotos magnéticos Capacidad para diferentes tamaños 4x6 5x7 8x10 Picutes (40 hojas pequeñas 80 páginas, negro)     ¿Por qué comprar con nosotros?    Todos nuestros productos son nuevos y originales importados de Estados Unidos, tenemos cobertura de entrega en todo el país  ¡Tú compra está protegida! Ofrecemos 30 días de garantía por cualquier motivo en todos nuestros productos, lo anterior es adicional a la garantía de fábrica de cada producto.    Descripción:        IMPORTANTE:  -Rapidez en envió: PRODUCTO DISPONIBLE para envió Internacional   -Asesoría: Aclara todas tus dudas sobre compatibilidad en la sección de preguntas, estamos para servirte."
Cámaras y Accesorios,Trípode Goocong Flexible Para Cámara De iPhone,"Tripod for iPhone, Goocong Flexible Tripod for Phone Camera with Cell Phone Mount for Samsung Google Smartphone, DSLR Camera - Tough from the Inside Out: Comprehensive adjustments to the entire leg structure. Strengthen and thicken the connection position with the gimbal; change one aluminum core to three-strand wound aluminum core; increase the density of the rubber outer skin. More durable and stronger, from top to bottom, from the inside out. - More Angle Options: Unlike the old version of Octopus on the market, the head of this tripod can not only adjust the horizontal angle of 360, but also adjust the vertical angle, and realize the flipping of the phone screen or the complete tilt shooting. - Suitable for Indoor & Outdoor Use: it is not only ideal for indoor photography and video recording, but also provides more possibilities for outdoor use. The flexible legs make it not only stand stably, but also can be wrapped around various pillars, such as Railings, fences, tree trunks, on bicycle handlebars and more, resulting in unusual photos. - Widely Applicable: The 1/4 screw on the ball head can be fully adapted to various types of DSLR, mirrorless and digital cameras, the width of the phone clip is 2.2inch-3.7inch , and phones of different sizes can work well. - Portable and Practical: Who wants to always carry a large and cumbersome tripod when going out every day? A decent-sized, lightweight, flexible octopus tripod is handy. You can easily put it in your pocket, handbag, backpack, and have it quickly when you need it."
Cámaras y Accesorios,Cámara Antigua A Fuelle Kodak,Cámara antigua a fuelle Kodak
Cámaras y Accesorios,Celestron Powerseeker Kit Accesorios Telescopio Ews,"========================================== IMPORTANTE:  Este producto se importa de Estados Unidos. El precio publicado incluye todos los costos de importación y de envío hasta tu domicilio.  Compra 100% Protegida y Envío Seguro Tu compra está completamente protegida por Mercado Libre. Además, con Mercado Envíos, tu pedido cuenta con seguimiento desde el momento que es despachado hasta que llega a tus manos, asegurando una experiencia de compra segura y confiable. ¡Comprá con total tranquilidad!  Cuando concretes tu compra te contactaremos para solicitarte tu número de CUIL con el que realizaremos la importación formal del mismo. Te enviaremos una foto de la compra al recibirla en nuestro depósito en Estados Unidos, y otra cuando la recibimos en Argentina. Tu compra será entregada a través de Mercado Envíos. Si tenés alguna duda, dejanos tu pregunta. ==========================================  TÍTULO:  PowerSeeker kit de accesorios de telescopio  DETALLES: VER MÁS CON TU TELESCOPIO PARA PRINCIPIANTES: Este económico kit de accesorios de siete piezas mejora tu ___ PowerSeeker, o casi cualquier otro telescopio.  OJOS TELESCOPIOS Y MÁS: Incluye dos oculares de tamaño completo de 1.25. También incluye tres filtros oculares de telescopio de colores, un paño de limpieza y un estuche.  Ojales KELLNER de 0.591 in y 0.354 in: un ocular de potencia media 0.591 in y un ocular de alta potencia 0.354 in te dan una nueva perspectiva de los objetos celestes.  3 POPULARES FILTROS DE OJOS TELESCOPIOS: El filtro Luna ayuda a bloquear parte del resplandor de la Luna para que puedas ver más detalles en la superficie lunar. Los dos filtros de color rojo y azul resaltan características en Marte, Júpiter y Saturno.  Estuche de plástico duro: Mantén tus accesorios seguros y organizados en el interior forrado de espuma.  Garantía y soporte inmejorables: compra con confianza de ___, una marca líder de telescopios en California desde 1960. Tu compra incluye una garantía de 2 años en Estados Unidos y soporte ilimitado de nuestro equipo de expertos con sede en Estados Unidos.  TABLA DE CARACTERÍSTICAS: Dimensiones del producto:    7 x 7 x 2 pulgadas Número de modelo del producto: 94306 País de origen:         China   ========================================== IMPORTANTE: Compra Fácil y Rápida desde Estados Unidos   Este producto se importa directamente desde Estados Unidos, ofreciéndote una experiencia de compra exclusiva y sin complicaciones. Disfrutá de los beneficios únicos que te ofrece nuestro servicio DelMundoATusManos - Easy World Shipping. El precio publicado incluye todos los costos de importación y envío hasta la puerta de tu hogar.    Ventajas de Comprar con Easy World Shipping   Comodidad y Simplicidad: Comprá directamente desde Estados Unidos sin preocuparte por trámites aduaneros o complicaciones logísticas. Nos encargamos de todo el proceso para que recibas tu producto sin esfuerzos adicionales.    Seguimiento y Transparencia: Queremos que estés al tanto de cada paso. Una vez que concretes tu compra, te asignaremos un Ejecutivo de Cuentas personal que te solicitará tu número de CUIL, necesario para la importación formal. Además estarás en contacto continuamente y te mantendrá informado con fotos del producto tanto al recibirlo en nuestro depósito en Estados Unidos como cuando llegue a Argentina. Tu tranquilidad es nuestra prioridad.    Entrega Segura y Rápida: Utilizamos Mercado Envíos para asegurar una entrega rápida y confiable hasta la puerta de tu casa. Te garantizamos que tu compra llegará en perfectas condiciones y en el menor tiempo posible.    ¡Sumate a los cientos de clientes que confian en nosotros!   No dudes en dejarnos tu pregunta, estamos aquí para asistirte y asegurarte una experiencia de compra excepcional.    Con DelMundoATusManos - Easy World Shipping, comprá fácil, rápido y seguro. ¡Tu satisfacción es nuestra misión! ==========================================  Transformador de Voltaje 220V a 120V para Productos Importados de USA  Si has elegido la compra de un producto que se conecta a la corriente desde Estados Unidos, es fundamental tener en cuenta que en Argentina la norma eléctrica es de 220-240V, mientras que en USA es de 120V. Para usar tu equipo de manera segura, lo más probable es que necesites un transformador de voltaje. Ofrecemos transformadores de excelente calidad a todos nuestros clientes al costo, y además te asesoramos en la post-venta, para que sepas con precisión qué tipo de transformador necesitas. Estos adaptadores son totalmente seguros y permiten que tu producto funcione perfectamente sin riesgos. ¡Conéctalo con confianza!"
Cámaras y Accesorios,Trípode De Cámara K&f Concept K234a0+bh-28l Ligero 163 Cm,"1En K&F CONCEPT, diseñamos, innovamos y fabricamos los engranajes de cámara de gama completa. Más de 150 patentes, una compra popular en 56 países y regiones, un producto ganador de premios internacionales... Seguimos perfeccionando nuestro arte para pulir todos los matices sutiles de tu creación; seguimos innovando nuestros productos para ayudarte a hacer realidad tus nuevas inspiraciones. Eso es lo que esperamos cuando el equipo funcione como usted desea. No habrá más límites de expresión y tu creación finalmente se mantendrá fiel a tu visión y superará tus expectativas. - La pata de 4 secciones, ligera y portátil, puede ajustar la altura del trípode de 20,4 pulgadas/52 cm a 64,1 pulgadas/163 cm; se puede plegar hasta 15,3 pulgadas/39 cm para que sea fácil guardarla en la bolsa de transporte; el peso neto con la rótula incluida es de solo 2,53 libras/1,15 kg. - Cabezal esférico metálico de 360 grados El cabezal esférico metálico de 28 mm se puede girar en cualquier ángulo que desees, lo que ayuda a mejorar el rango de actividad de la cámara durante la panorámica. El dial panorámico de 360 grados te permite configurar tomas de precisión para capturar la belleza de los paisajes. - Eficiente y flexible Con un potente y rápido bloqueo de patas abatibles, solo con una mano puedes abrir y cerrar todos los botones en unos segundos. Es muy fácil de usar, lo que le permite ahorrar más tiempo y puede concentrarse más en disfrutar de la toma. - Habilidad versátil La columna central se instala invertida (también con una columna central corta) para lograr el ángulo más bajo de tiro, tiro con arco y fotografías especiales. - Más compatibilidadEste trípode de cámara con rosca estándar de 1/4 de pulgada, que se puede aplicar a la mayoría de las placas de liberación rápida Arca-Swiss; el tornillo de 1/4 pulgadas es adecuado para la mayoría de las cámaras, cámaras réflex digitales, proyectores y telescopio, etc."
