category,title,description
Cameras and accessories,"Sony A6600 mirror of 24.2 MP, 4K APS-C, SOL CUERT","IMPORTANT: If this product is electric, it is compatible with 110 volt outlets. In case of using it outside the United States, a voltage converter may be necessary to guarantee its proper operation. Please check if the product you are acquiring is electric before considering this information. Alpha 6600 includes a 24.2 MP2 Exmor Immor image sensor, the last Bionz X image processor and a frontal LSI, as implemented in Sony's complete frame chambers, which are combined to offer general improvements in the quality of the image and performance in all areas of the capture of photos and videos. Product characteristics: the fastest AF 1 in the world at 0.02 seconds with AF and monitoring of real-time objects APS-C sensor of 24.2 MP2 with AF in real time and monitoring of objects/LSI and ISO front of up to 102,4004 continuous shooting of up to 11 fps5 to 24.2 MP RAW with AF follow-up follow-up Contrasts greater than 84% of the real -time sensor monitoring of automatic approach, real -time automatic approach for humans, animals, films, 65 -axle body image stabilization, 5 -step shutter speed advantage, 94 k movies with 2.4 -time overmone 3-inch LCD touch with 3-inch touch screen, Image processing engine Improved with video interface LSIXAVC S, HLG, S-LOG2 and 3, SLOW/SHOWS OF FAST frame, HDMI output 4: 2: 2, intervals 7 for intervals 7 for video at intervals and s Up to 810 images when the LCD9 tactile LCD screen is used for tactile approach, monitoring and Wi-Fi /NFC /QR code to facilitate file transfer and remote control8 Robust magnesium alloy body with dust resistant and humidity design1024.2 MP2 and an incredible image quality the Alpha 66 24.2 effective megapixels, the ... - Authorized by Sony in the US. Includes the total guarantee of Sony Ee. UU. - APS -C sensor of 24.2 MP with LSI and ISO front of up to 102 400 the fastest automatic approach in the world at 0.02 seconds. With automatic approach and real -time object monitor Films: 4k film with 2.4 -time overmueve HDMI 4: 2: 2 Recording at intervals for intervals and S&K for between 1 and 120 fps Tactile LCD screen for tactile approach, monitoring and shutter Wi-Fi/NFC/QR code to facilitate file transfer and remote control resistant to dust and humidity-The camera includes: digital camera without mirror SONY ALPHA A6600 ILCE-600b (only body) NP-FZ100 RECHARGLE ALC-UUD12 SHOUL CORRY ADAPTER HAIR FOR FOOT CUP MICRO USB CABLE AUTHORIZED GUARANTEE OF SONY US SDXC Lexar Professional 633x 64 GB Lensors Lenp Blower 12 -inch Tripod Tripod"
Cameras and accessories,Professional 35cm refractor telescope for EWS beginners,"================================================================================================================================================= The published price includes all import and shipping costs to your home.  Buy 100% protected and safe shipping Your purchase is completely protected by Mercado Libre. In addition, with market ships, your request has follow -up from the moment it is dispatched until it reaches your hands, ensuring a safe and reliable purchase experience. Buy with total tranquility!  When you specify your purchase we will contact you to request your Cuil number with which we will make the formal import of it. We will send you a photo of the purchase when receiving it in our deposit in the United States, and another when we received it in Argentina. Your purchase will be delivered through market shipments. If you have any questions, leave us your question. ================================== In: It needs astronomical telescopes that have the true opening of 3,150 in and a fully coated green optical glass lens. The great opening can capture more light, the high transmission optical lens can improve light transmission and reduce the light reflection, so this professional telescope ___ 80900 will bring you brighter and more clear images.  A stable tripod with Super Azimut Cardan: The telescopes ___ are equipped with an approximate adjustment and positioning cardan with a clear scale in a stable full -size aluminum tripod. The altitude and azimuth scales allow you to move wherever you want to point easily and comfortably.  Multiple extensions by ocular of high quantity: We have especially configured the WA eye for this telescope. 0.394 in and 0.787 IN provide an increase of 90x and 45x for images. The terrestrial landscape and sky is impressive, from lunar craters to other planets, whether you are a basic level enthusiast or a professional enthusiast, you can meet your needs.  Easy to install, easy to operate, easy to get images: the telescope is easy to assemble even for beginners and astronomy children. Do not worry about assembly problems, our accessories are simple and have characteristics table manuals: product dimensions: 36 x 10 x 60 inches product model number: 80900-b country of origin: China ====================================== offering you an exclusive and uncomplicated purchase experience. Enjoy the unique benefits offered by our Mundoatusmano service - Easy World Shipping. The published price includes all import and shipping costs to the door of your home.    Advantages of buying with Easy World Shipping Comfort and simplicity: Buy directly from the United States without worrying about customs procedures or logistics complications. We take care of the whole process to receive your product without additional efforts.    Monitoring and transparency: We want you to be aware of each step. Once you specify your purchase, we will assign you a personal accounts executive that will be asked for your Cuil number, necessary for formal importation. You will also be in contact continuously and you will keep you informed with photos of the product both when you receive it in our deposit in the United States and when you arrive in Argentina. Your tranquility is our priority.    Safe and fast delivery: We use shipments market to ensure quick and reliable delivery to the door of your house. We guarantee that your purchase will arrive in perfect condition and in the shortest possible time.    Add the hundreds of customers who trust us!   Do not hesitate to leave your question, we are here to attend and assure you an exceptional purchase experience.    With Delmundoatusmanos - Easy World Shipping, buy easy, fast and safe. Your satisfaction is our mission! ====================================== Voltage transformer 220V to 120V for products imported from the US if you have chosen the purchase of a product that connects to the current from the United States, it is essential to take into account that in Argentina the electric standard is 220-240V, while in the USA is 120V. To use your equipment safely, most likely you need a voltage transformer. We offer excellent quality transformers to all our customers at cost, and we also advise you in the post-sale, so you know what type of transformer you need. These adapters are totally safe and allow you to produce"
Cameras and accessories,SD memories,"SD memory cards printed on PL, to take up to 9 cards to the filming and not have them scattered through all the backpack pockets :-)"
Cameras and accessories,Smallrig Support for field monitor with born clamp,"GALAS TRADE + LAMEJORSOLUCION    SOMOS MERCADOLIBRE PLATINUM  +500.000 VENTAS EN LOS ULTIMOS 20 AÑOS EN MERCADOLIBRE  100% CALIFICACIONES POSITIVAS  -------------------------------------------------------------------  TODOS NUESTROS PRODUCTOS SON NUEVOS Y ORIGINALES EN SU EMPAQUE DE ORIGEN.  -------------------------------------------------------------------- I received your international purchase by shipment market at the time indicated in the notice!  --------------------------------------------------------------- The product takes 6 to 20 days to reach our deposit to be dispatched by shipping market.  ------------------------------------------------------------ Item: Smallrig SUPPORT FOR FIELD MONITOR WITH NATO NATO OF FAST LIBERATION-2100 ------------------------------------------------------------------------------------------- ---------------------------------------------------------------------------------------------------------- character: •? Special purpose? The support for Smallrig DSLR 2100 monitor allows an easy and fast adjustment of the monitor viewing angle and allows the cameraman to have a better monitoring according to the needs in different shooting scenarios. •? 160 ° turnover •? Fast release? Smallrig camera field monitor support can be assured with a butterfly screw or a hexagonal key by pressing the threaded screw on the top. Fast release in any cage with born rail, such as Smallrig A6300 A6500 Cage 1889 or Smallrig Safety Rail 1195. It can be blackly blocking with the red lock lever quickly. • ?STRUCTURE? This field monitor with camera is compatible with 5 and 7 monitors. The ultracompacta structure has a height of only 46 mm. A rubber cushion is used in the upper part to prevent the monitor from scratching or damage. Two M5 screws serve to cushion according to the weight of the monitors. • Do you take into account? The maximum load of this article is 1.5 kg color: NATO monitor monut 2100. Brand: Smallrig Dimensions: 0.08 x 0.07 x 0.05mts.  Product weight: 0.10 kilograms.  Shipping weight: 0.10 kilograms.  Model: 2100B --------------------------------------------------------------------------------------- Invoice A, B and Ticket Final consumer."
Cameras and accessories,Microscope Thames & Kosmos Essential with SMAR adapter,"The essential stem tool of the Thames & Kosmos microscope with smartphone adapter to capture and see microscopic images, scientific device for basic level students, increased 60 to 600 times and 45 accessories: a high quality student microscope reinvented for the 21st century! - It comes with 45 tools and accessories, including: prepared slides, blank slides, roads for samples, tweezers, a petri plate, a test tube and more. - The 15x ocular lens, or eye lens, works with three objectives, resulting in a total increase of 60x, 150x or 600x. - The instruction manual explains how to configure, use and care for the microscope and offer advice and ideas to collect and observe your own samples. - It has an adapter for smartphones that allows you to connect your smartphone to the microscope and see and capture incredible microscopic images images and videos on your device."
Cameras and accessories,YWLAKE Self -adhesive photo album sticky pages compe,"What do you receive with your purchase?   Ywlake Self -adhesive photo album Sticky Stick    All our products are new and original imported from the United States, we have delivery coverage throughout the country. You buy is protected! We offer 30 days of guarantee for any reason in all our products, the above is additional to the factory guarantee of each product.    Description: Important: -Rapity in shipping: Product available for International Submitting -Assembly: Clarify all your doubts about compatibility in the questions section, we are here to serve you."
Cameras and accessories,Flexible Goocong tripod for iPhone Chamber,"Tripod for iPhone, Flexible Goocong Tripod for Phone Camera with Cell Phone Mount for Samsung Google Smartphone, DSLR Camera - Tough from The Inside Out: Comprehensive Adjustments to the Entire Leg Structure. Strengthen and Thickn the Connection position with the gimbal; CHANGE One aluminum core to three-stend wound aluminum core; Increase The Density of the Rubber Outer Skin. More Durable and Stronger, From Top To Bottom, From The Inside Out. - More Angle Options: Unlike The Old Version of Octopus On The Market, The Head of This Tripod Can Not Only Adjust the Horizontal Angle of 360, But Also Adjust the Vertical Angle, and perform The Flipping of the Phone Screen or The Complete Tilt Shooting. - Suitable for Indoor & Outdoor Use: It is not only ideal for Indoor Photography and video recording, but also provides more possibilities for outdoor use. The flexible legs make it not only stand stably, but also can be wrapped around varied by Pillars, Such as Railings, Fences, Tree Trunks, On Bcycy Cle Handlebars and More, resulting in unusual photos. - Applicable Widely: The 1/4 Screw On The Ball Head Can Be Fully Add to Various Types of DSLR, Mirrorless and Digital Cameras, The Width of The Phone Clip is 2.2inch-3.7inch, and Phones of Different Sizes Can Work Well. - Portable and Practical: Who Wants to Always Carry A Large and Cumbersome Tripod When Going Out Every Day? To Dent-Siss, Lightweight, flexible octopus tripod is handy. You Can Easily Put It In Your Pocket, Handbag, Backpack, and Have It Quickly When You Need It."
Cameras and accessories,Ancient camera to bellow kodak,Ancient camera to bellow kodak
Cameras and accessories,Celestron Powerseker Kit Ews Telescope Accessories,"================================================================================================================================================= The published price includes all import and shipping costs to your home.  Buy 100% protected and safe shipping Your purchase is completely protected by Mercado Libre. In addition, with market ships, your request has follow -up from the moment it is dispatched until it reaches your hands, ensuring a safe and reliable purchase experience. Buy with total tranquility!  When you specify your purchase we will contact you to request your Cuil number with which we will make the formal import of it. We will send you a photo of the purchase when receiving it in our deposit in the United States, and another when we received it in Argentina. Your purchase will be delivered through market shipments. If you have any questions, leave us your question. =======================================  Telescopes and more: Includes two full -size ocular of 1.25. It also includes three ocular filters of color telescope, a cleaning cloth and a case.  Kellner Ojales of 0.591 in and 0.354 in: an ocular of average power 0.591 in and an ocular of high power 0.354 in give you a new perspective of the celestial objects.  3 popular telescope eye filters: The moon filter helps to block part of the moon glow so you can see more details on the lunar surface. The two red and blue filters highlight characteristics in Mars, Jupiter and Saturn.  Hard plastic case: Keep your accessories safe and organized inside foam lined.  Unbeatable guarantee and support: Buy with confidence of ___, a leading brand of telescopes in California since 1960. Your purchase includes a 2 -year guarantee in the United States and unlimited support from our team of experts based in the United States.  Table of characteristics: product dimensions: 7 x 7 x 2 inches product of the product: 94306 country of origin: China =============================================== Enjoy the unique benefits offered by our Mundoatusmano service - Easy World Shipping. The published price includes all import and shipping costs to the door of your home.    Advantages of buying with Easy World Shipping Comfort and simplicity: Buy directly from the United States without worrying about customs procedures or logistics complications. We take care of the whole process to receive your product without additional efforts.    Monitoring and transparency: We want you to be aware of each step. Once you specify your purchase, we will assign you a personal accounts executive that will be asked for your Cuil number, necessary for formal importation. You will also be in contact continuously and you will keep you informed with photos of the product both when you receive it in our deposit in the United States and when you arrive in Argentina. Your tranquility is our priority.    Safe and fast delivery: We use shipments market to ensure quick and reliable delivery to the door of your house. We guarantee that your purchase will arrive in perfect condition and in the shortest possible time.    Add the hundreds of customers who trust us!   Do not hesitate to leave your question, we are here to attend and assure you an exceptional purchase experience.    With Delmundoatusmanos - Easy World Shipping, buy easy, fast and safe. Your satisfaction is our mission! ====================================== Voltage transformer 220V to 120V for products imported from the US if you have chosen the purchase of a product that connects to the current from the United States, it is essential to take into account that in Argentina the electric standard is 220-240V, while in the USA is 120V. To use your equipment safely, most likely you need a voltage transformer. We offer excellent quality transformers to all our customers at cost, and we also advise you in the post-sale, so you know what type of transformer you need. These adapters are totally safe and allow your product to work perfectly without risks. Connect it with confidence!"
Cameras and accessories,K & F Concept K234A0+BH-28L Light 163 cm 163 cm camera tripod 163 cm,"1In K & F Concept, we design, innovate and manufacture the full -end camera gears. More than 150 patents, a popular purchase in 56 countries and regions, a winning product of international awards ... We continue to improve our art to polish all subtle nuances of your creation; We continue innovating our products to help you make your new inspirations come true. That is what we expect when the team works as you want. There will be no more expression limits and your creation will finally remain faithful to your vision and overcome your expectations. - The 4 sections leg, light and laptop, can adjust the height of the tripod of 20.4 inches/52 cm to 64.1 inches/163 cm; It can be folded up to 15.3 inches/39 cm so that it is easy to store it in the transport bag; The net weight with the bruise included is only 2.53 pounds/1.15 kg. - 360 -degree Metallic Heads The 28 mm Metallic Head can turn at any angle you want, which helps improve the camera activity during the panorama. The 360 ​​degree panoramic dial allows you to configure precision shots to capture the beauty of the landscapes. - Efficient and flexible with a powerful and fast locking of folding legs, only with one hand you can open and close all the buttons in a few seconds. It is very easy to use, which allows you to save more time and can concentrate more on enjoying the shot. - Versatile ability The central column is installed inverted (also with a short central column) to achieve the lowest angle of shooting, archery and special photographs. - More compatibility This camera tripod with standard 1/4 inch thread, which can be applied to most rapid Ark-Swiss release plates; The 1/4 -inch screw is suitable for most cameras, digital Réflex cameras, projectors and telescope, etc."
